L1,L2,Score,New_Score
av1_az3m,pb1_z3,2,0.5
av1_az3m,pb2_z3,2,0.5
av1_az3m,bql_mo,4,1
av1_az3m,bgp_mah,4,1
av1_az3m,bgn_man,4,1
av1_az3m,ps1_z3,2,0.5
av1_az3m,pb3_z3,2,0.5
av1_az3m,pb4_z3,2,0.5
av1_az3m,wb1_woz,4,1
av1_az3m,pt1_z3,2,0.5
av1_az3m,wb2_woz,4,1
av1_az3m,pb5_z3,2,0.5
av1_az3m,pb6_z3,2,0.5
av1_az3m,os1_Ez,3,0.75
av1_az3m,pb7_z3,2,0.5
av1_az3m,prs_mEn,4,1
av1_az3m,gzi_mo,4,1
av1_az3m,glk_mEn,4,1
av1_az3m,pb8_z3,2,0.5
av1_az3m,os2_EZ,4,1
av1_az3m,wb3_woz,4,1
av1_az3m,pb9_z3,2,0.5
av1_az3m,p10_z3,2,0.5
av1_az3m,jdt_me,4,1
av1_az3m,pt2_z3,2,0.5
av1_az3m,ps2_z3,2,0.5
av1_az3m,kiu_Ez,3,0.75
av1_az3m,zum_meh,4,1
av1_az3m,kmr_min,4,1
av1_az3m,ps3_z3,2,0.5
av1_az3m,lrl_ma,4,1
av1_az3m,lsa_a,3,0.75
av1_az3m,luz_mu,4,1
av1_az3m,p11_z3,2,0.5
av1_az3m,p12_z3,2,0.5
av1_az3m,p13_z3,2,0.5
av1_az3m,kfm_mon,4,1
av1_az3m,p14_zo,3,0.75
av1_az3m,ps4_z3,2,0.5
av1_az3m,p15_z3,2,0.5
av1_az3m,mnj_z3,2,0.5
av1_az3m,ntz_mun,4,1
av1_az3m,p16_z3,2,0.5
av1_az3m,p17_z3,2,0.5
av1_az3m,p18_z3,2,0.5
av1_az3m,oru_az,2,0.5
av1_az3m,prc_on,4,1
av1_az3m,p19_z3,2,0.5
av1_az3m,pt3_z3,2,0.5
av1_az3m,pes_man,4,1
av1_az3m,p20_z3,2,0.5
av1_az3m,pt4_z3,2,0.5
av1_az3m,pt5_z3,2,0.5
av1_az3m,srz_me,4,1
av1_az3m,p21_z3,2,0.5
av1_az3m,sgh_woz,4,1
av1_az3m,siy_me,4,1
av1_az3m,sqo_o,4,1
av1_az3m,bcc_man,4,1
av1_az3m,sdh_min,4,1
av1_az3m,fay_mo,4,1
av1_az3m,p22_z3,2,0.5
av1_az3m,tgk_man,4,1
av1_az3m,tly_oz,3,0.75
av1_az3m,p23_z3,2,0.5
av1_az3m,p24_z3,2,0.5
av1_az3m,vaf_aez,3,0.75
av1_az3m,ps5_z3,2,0.5
av1_az3m,wne_z3,2,0.5
